order_id,date,region,store_id,category,product,units,unit_price,revenue,customer_segment,channel,seasonal_factor
ORD-00610634,2022-01-09,Region 09,159,Electronics,Headphones,7,498.25,3487.75,Retail,Retail,1.0
ORD-00397547,2022-01-10,Region 47,60,Apparel,Jacket,2,74.86,149.72,Wholesale,Retail,1.0
ORD-00217175,2022-01-10,Region 30,421,Home,Lamp,18,203.83,3668.94,Wholesale,Online Store,1.0
ORD-00194047,2022-01-10,Region 27,543,Sports,Water Bottle,16,70.2,1123.2,Enterprise,Wholesale,1.0
ORD-00408296,2022-01-10,Region 13,62,Electronics,Smartphone,12,672.11,8065.32,Enterprise,Retail,1.0
ORD-00136059,2022-01-10,Region 26,324,Apparel,T-Shirt,11,52.3,575.3,Enterprise,Wholesale,1.0
ORD-00806075,2022-01-10,Region 08,586,Electronics,Smartphone,6,462.94,2777.64,Retail,Online Store,1.0
ORD-00719800,2022-01-11,Region 33,590,Beauty,Lipstick,17,39.05,663.85,Wholesale,Online Store,1.0
ORD-00478457,2022-01-11,Region 27,87,Toys,Puzzle,8,29.17,233.36,Wholesale,Retail,1.0
ORD-00959375,2022-01-11,Region 08,178,Electronics,Smartphone,13,649.22,8439.86,Wholesale,Retail,1.0
ORD-00934981,2022-01-12,Region 51,574,Beauty,Serum,14,34.74,486.36,Wholesale,Wholesale,1.0
ORD-00677118,2022-01-12,Region 37,221,Electronics,Laptop,8,573.12,4584.96,Retail,Wholesale,1.0
ORD-00281980,2022-01-12,Region 24,558,Books,Journal,16,18.47,295.52,Enterprise,Retail,1.0
ORD-00529244,2022-01-12,Region 40,232,Sports,Treadmill,20,65.74,1314.8,Wholesale,Online Store,1.0
ORD-00689151,2022-01-12,Region 23,420,Electronics,Laptop,9,386.89,3482.01,Retail,Retail,1.0
ORD-00723028,2022-01-13,Region 38,512,Electronics,Laptop,14,565.99,7923.86,Retail,Retail,1.0
ORD-00300348,2022-01-13,Region 48,436,Sports,Treadmill,12,93.89,1126.68,Enterprise,Online Store,1.0
ORD-00037915,2022-01-13,Region 13,130,Electronics,Tablet,5,612.35,3061.75,SMB,Wholesale,1.0
ORD-00367242,2022-01-13,Region 53,49,Electronics,Tablet,2,398.17,796.34,Retail,Wholesale,1.0
ORD-00167821,2022-01-14,Region 42,427,Electronics,Smartphone,2,583.59,1167.18,SMB,Wholesale,1.0
ORD-00496445,2022-01-14,Region 34,295,Home,Sofa,1,118.87,118.87,Wholesale,Wholesale,1.0
ORD-00974038,2022-01-14,Region 28,394,Books,Textbook,12,21.43,257.16,Wholesale,Wholesale,1.0
ORD-00754011,2022-01-15,Region 30,32,Grocery,Rice,18,25.78,464.04,Enterprise,Online Store,1.0
ORD-00347381,2022-01-15,Region 43,586,Home,Curtains,10,116.53,1165.3,Retail,Wholesale,1.0
ORD-00116535,2022-01-15,Region 49,74,Apparel,T-Shirt,3,79.55,238.65,Retail,Retail,1.0
ORD-00514340,2022-01-16,Region 19,255,Home,Lamp,15,179.91,2698.65,Retail,Wholesale,1.0
ORD-00575838,2022-01-16,Region 08,79,Books,Novel,8,34.79,278.32,Retail,Retail,1.0
ORD-00032294,2022-01-16,Region 20,456,Home,Sofa,20,136.07,2721.4,SMB,Online Store,1.0
ORD-00312459,2022-01-16,Region 26,195,Toys,Action Figure,10,41.23,412.3,SMB,Retail,1.0
ORD-00910142,2022-01-16,Region 53,193,Electronics,Smartphone,2,571.48,1142.96,Enterprise,Online Store,1.0
ORD-00173009,2022-01-16,Region 46,197,Electronics,Laptop,6,447.61,2685.66,Retail,Wholesale,1.0
ORD-00663615,2022-01-16,Region 45,504,Toys,Building Blocks,8,41.9,335.2,Retail,Online Store,1.0
ORD-00461353,2022-01-16,Region 18,454,Home,Curtains,20,197.97,3959.4,Retail,Online Store,1.0
ORD-00316892,2022-01-17,Region 36,258,Apparel,Jeans,12,46.41,556.92,Wholesale,Wholesale,1.0
ORD-00083371,2022-01-17,Region 28,229,Home,Sofa,14,183.77,2572.78,Wholesale,Wholesale,1.0
ORD-00626955,2022-01-17,Region 16,548,Grocery,Coffee,7,16.98,118.86,Wholesale,Wholesale,1.0
ORD-00984025,2022-01-17,Region 35,357,Apparel,Jacket,16,65.59,1049.44,Wholesale,Online Store,1.0
ORD-00040810,2022-01-17,Region 48,236,Sports,Water Bottle,6,80.28,481.68,Retail,Online Store,1.0
ORD-00237301,2022-01-18,Region 41,164,Toys,Building Blocks,1,41.04,41.04,SMB,Online Store,1.0
ORD-00977563,2022-01-19,Region 13,169,Beauty,Lipstick,15,39.5,592.5,Wholesale,Wholesale,1.0
ORD-00743301,2022-01-20,Region 19,370,Books,Cookbook,14,34.23,479.22,Enterprise,Retail,1.0
ORD-00997822,2022-01-20,Region 12,257,Apparel,Jeans,2,56.83,113.66,SMB,Retail,1.0
ORD-00008654,2022-01-20,Region 19,255,Beauty,Lipstick,6,41.8,250.8,Wholesale,Retail,1.0
ORD-00062932,2022-01-20,Region 06,432,Apparel,T-Shirt,20,60.57,1211.4,Wholesale,Online Store,1.0
ORD-00234995,2022-01-20,Region 05,560,Apparel,T-Shirt,16,69.52,1112.32,Wholesale,Online Store,1.0
ORD-00059157,2022-01-21,Region 02,217,Beauty,Serum,19,48.65,924.35,Wholesale,Retail,1.0
ORD-00977238,2022-01-21,Region 32,476,Books,Cookbook,17,34.91,593.47,SMB,Online Store,1.0
ORD-00913275,2022-01-21,Region 31,63,Home,Lamp,3,106.23,318.69,Wholesale,Online Store,1.0
ORD-00797881,2022-01-21,Region 11,572,Home,Curtains,9,204.72,1842.48,Enterprise,Retail,1.0
ORD-00337047,2022-01-22,Region 45,85,Toys,Building Blocks,19,55.64,1057.16,Enterprise,Retail,1.0
ORD-00328816,2022-01-22,Region 05,263,Grocery,Milk Powder,6,27.48,164.88,Retail,Online Store,1.0
ORD-00299768,2022-01-22,Region 07,72,Books,Cookbook,15,31.59,473.85,SMB,Online Store,1.0
ORD-00305340,2022-01-22,Region 29,408,Electronics,Tablet,19,363.11,6899.09,SMB,Retail,1.0
ORD-00188734,2022-01-23,Region 29,598,Sports,Yoga Mat,7,93.23,652.61,Wholesale,Retail,1.0
ORD-00609125,2022-01-23,Region 41,42,Beauty,Moisturizer,6,27.49,164.94,Retail,Retail,1.0
ORD-00632151,2022-01-23,Region 15,494,Beauty,Moisturizer,3,29.55,88.65,SMB,Retail,1.0
ORD-00075772,2022-01-23,Region 39,532,Grocery,Rice,19,19.65,373.35,Retail,Wholesale,1.0
ORD-00116803,2022-01-23,Region 03,373,Books,Cookbook,5,26.52,132.6,Retail,Online Store,1.0
ORD-00005896,2022-01-24,Region 01,375,Toys,Board Game,1,39.95,39.95,Wholesale,Online Store,1.0
ORD-00505614,2022-01-24,Region 47,89,Home,Lamp,18,158.02,2844.36,SMB,Retail,1.0
ORD-00258041,2022-01-24,Region 45,368,Books,Journal,10,32.59,325.9,SMB,Wholesale,1.0
ORD-00563589,2022-01-25,Region 24,172,Toys,Board Game,17,34.59,588.03,Wholesale,Wholesale,1.0
ORD-00462287,2022-01-25,Region 26,215,Grocery,Coffee,2,20.73,41.46,Wholesale,Retail,1.0
ORD-00062054,2022-01-25,Region 06,600,Home,Sofa,13,143.92,1870.96,SMB,Wholesale,1.0
ORD-00878902,2022-01-25,Region 45,441,Books,Textbook,7,26.37,184.59,Wholesale,Wholesale,1.0
ORD-00587408,2022-01-25,Region 02,346,Electronics,Smartphone,4,587.57,2350.28,Retail,Online Store,1.0
ORD-00329883,2022-01-25,Region 15,3,Home,Blender,19,198.83,3777.77,Wholesale,Online Store,1.0
ORD-00475398,2022-01-26,Region 53,226,Home,Curtains,10,108.29,1082.9,Retail,Retail,1.0
ORD-00226939,2022-01-26,Region 42,582,Home,Blender,5,129.55,647.75,Retail,Retail,1.0
ORD-00361302,2022-01-26,Region 28,447,Electronics,Tablet,11,413.88,4552.68,Wholesale,Wholesale,1.0
ORD-00582766,2022-01-27,Region 11,209,Electronics,Smartphone,8,379.16,3033.28,SMB,Retail,1.0
ORD-00491520,2022-01-27,Region 24,280,Electronics,Headphones,6,663.29,3979.74,Enterprise,Wholesale,1.0
ORD-00780381,2022-01-27,Region 33,581,Electronics,Smartphone,17,391.99,6663.83,Retail,Wholesale,1.0
ORD-00426547,2022-01-27,Region 27,501,Home,Lamp,12,158.22,1898.64,Wholesale,Retail,1.0
ORD-00528245,2022-01-27,Region 25,304,Toys,Action Figure,4,37.83,151.32,Enterprise,Online Store,1.0
ORD-00934514,2022-01-27,Region 15,318,Grocery,Rice,13,26.7,347.1,Wholesale,Wholesale,1.0
ORD-00930040,2022-01-27,Region 16,490,Toys,Board Game,19,31.5,598.5,Retail,Retail,1.0
ORD-00863830,2022-01-27,Region 04,530,Sports,Yoga Mat,14,87.36,1223.04,Enterprise,Online Store,1.0
ORD-00818396,2022-01-28,Region 49,178,Home,Curtains,10,136.39,1363.9,Enterprise,Online Store,1.0
ORD-00592065,2022-01-28,Region 52,253,Home,Curtains,16,140.78,2252.48,Retail,Retail,1.0
ORD-00224483,2022-01-28,Region 06,551,Books,Journal,16,24.19,387.04,SMB,Retail,1.0
ORD-00787089,2022-01-28,Region 44,79,Home,Lamp,6,181.76,1090.56,Retail,Retail,1.0
ORD-00420486,2022-01-28,Region 06,314,Books,Journal,4,30.91,123.64,Enterprise,Wholesale,1.0
ORD-00871465,2022-01-29,Region 05,355,Apparel,Sneakers,3,79.96,239.88,Enterprise,Wholesale,1.0
ORD-00731260,2022-01-29,Region 24,272,Beauty,Moisturizer,10,45.26,452.6,Retail,Wholesale,1.0
ORD-00365517,2022-01-29,Region 09,243,Toys,Building Blocks,8,39.39,315.12,SMB,Online Store,1.0
ORD-00311235,2022-01-29,Region 09,254,Grocery,Cooking Oil,16,16.58,265.28,Retail,Wholesale,1.0
ORD-00666193,2022-01-29,Region 53,394,Beauty,Shampoo,7,44.99,314.93,Wholesale,Online Store,1.0
ORD-00177048,2022-01-29,Region 54,443,Toys,Action Figure,2,55.48,110.96,SMB,Retail,1.0
ORD-00941419,2022-01-29,Region 31,113,Sports,Yoga Mat,3,96.37,289.11,Retail,Online Store,1.0
ORD-00443958,2022-01-30,Region 26,274,Home,Lamp,16,155.9,2494.4,Retail,Retail,1.0
ORD-00484361,2022-01-30,Region 04,542,Beauty,Lipstick,5,43.99,219.95,SMB,Online Store,1.0
ORD-00972632,2022-01-30,Region 10,258,Home,Curtains,9,131.91,1187.19,Enterprise,Wholesale,1.0
ORD-00877837,2022-01-30,Region 42,155,Electronics,Tablet,2,444.62,889.24,SMB,Online Store,1.0
ORD-00314007,2022-01-31,Region 18,244,Electronics,Laptop,7,525.32,3677.24,Wholesale,Retail,1.0
ORD-00997088,2022-01-31,Region 54,191,Beauty,Shampoo,12,31.67,380.04,SMB,Online Store,1.0
ORD-00184403,2022-01-31,Region 10,394,Grocery,Coffee,14,19.79,277.06,Wholesale,Online Store,1.0
ORD-00125145,2022-02-01,Region 09,457,Books,Novel,1,30.17,30.17,Wholesale,Retail,1.0
ORD-00508727,2022-02-01,Region 03,582,Apparel,Jacket,6,46.29,277.74,SMB,Wholesale,1.0
ORD-00231025,2022-02-02,Region 49,316,Sports,Water Bottle,1,93.59,93.59,Wholesale,Retail,1.0
ORD-00018007,2022-02-02,Region 42,8,Electronics,Tablet,9,526.35,4737.15,SMB,Retail,1.0
ORD-00245201,2022-02-02,Region 38,598,Books,Journal,20,23.85,477.0,Retail,Online Store,1.0
ORD-00711713,2022-02-02,Region 50,7,Sports,Water Bottle,8,78.15,625.2,SMB,Retail,1.0
ORD-00010968,2022-02-03,Region 34,581,Home,Sofa,10,201.91,2019.1,SMB,Retail,1.0
ORD-00601776,2022-02-03,Region 35,367,Apparel,T-Shirt,4,60.9,243.6,Retail,Online Store,1.0
ORD-00726107,2022-02-03,Region 23,186,Grocery,Cooking Oil,4,16.72,66.88,Wholesale,Online Store,1.0
ORD-00279262,2022-02-03,Region 38,385,Sports,Dumbbells,18,101.65,1829.7,SMB,Online Store,1.0
ORD-00653725,2022-02-03,Region 32,311,Grocery,Milk Powder,6,19.92,119.52,Wholesale,Online Store,1.0
ORD-00028189,2022-02-04,Region 52,468,Toys,Puzzle,5,37.31,186.55,Enterprise,Wholesale,1.0
ORD-00439308,2022-02-04,Region 27,232,Electronics,Headphones,11,351.42,3865.62,SMB,Online Store,1.0
ORD-00221791,2022-02-05,Region 17,435,Toys,Building Blocks,3,51.5,154.5,SMB,Retail,1.0
ORD-00194882,2022-02-05,Region 24,565,Grocery,Rice,15,26.12,391.8,Enterprise,Online Store,1.0
ORD-00585351,2022-02-05,Region 28,415,Grocery,Coffee,4,25.34,101.36,Enterprise,Online Store,1.0
ORD-00406379,2022-02-05,Region 40,54,Home,Sofa,10,174.79,1747.9,Retail,Retail,1.0
ORD-00593080,2022-02-06,Region 10,198,Beauty,Moisturizer,2,33.07,66.14,SMB,Wholesale,1.0
ORD-00067079,2022-02-06,Region 06,20,Electronics,Smartphone,20,698.79,13975.8,SMB,Wholesale,1.0
ORD-00811400,2022-02-06,Region 20,597,Sports,Dumbbells,8,100.73,805.84,Wholesale,Retail,1.0
ORD-00234061,2022-02-06,Region 06,555,Electronics,Smartphone,19,551.28,10474.32,Wholesale,Online Store,1.0
ORD-00550111,2022-02-06,Region 06,326,Electronics,Smartphone,1,460.53,460.53,SMB,Wholesale,1.0
ORD-00292992,2022-02-06,Region 22,7,Toys,Board Game,16,29.55,472.8,Retail,Retail,1.0
ORD-00942596,2022-02-07,Region 11,335,Electronics,Laptop,3,426.0,1278.0,SMB,Wholesale,1.0
ORD-00668744,2022-02-07,Region 43,217,Apparel,Jeans,2,47.38,94.76,SMB,Online Store,1.0
ORD-00525060,2022-02-08,Region 15,96,Apparel,Jacket,12,74.97,899.64,Enterprise,Wholesale,1.0
ORD-00844572,2022-02-08,Region 28,551,Electronics,Tablet,5,692.62,3463.1,Retail,Retail,1.0
ORD-00427016,2022-02-08,Region 19,158,Books,Journal,12,23.87,286.44,Retail,Wholesale,1.0
ORD-00260901,2022-02-09,Region 43,25,Books,Novel,5,29.75,148.75,Retail,Retail,1.0
ORD-00412807,2022-02-09,Region 18,527,Books,Journal,3,23.61,70.83,Enterprise,Wholesale,1.0
ORD-00942184,2022-02-09,Region 18,74,Apparel,Jacket,3,82.29,246.87,Retail,Wholesale,1.0
ORD-00810532,2022-02-09,Region 16,273,Sports,Treadmill,8,102.35,818.8,Wholesale,Online Store,1.0
ORD-00784149,2022-02-10,Region 47,137,Electronics,Headphones,12,593.79,7125.48,SMB,Retail,1.0
ORD-00511497,2022-02-10,Region 46,579,Apparel,T-Shirt,6,52.47,314.82,Enterprise,Retail,1.0
ORD-00101247,2022-02-10,Region 23,517,Sports,Dumbbells,1,72.62,72.62,SMB,Retail,1.0
ORD-00444344,2022-02-10,Region 27,574,Toys,Board Game,12,33.69,404.28,Retail,Online Store,1.0
ORD-00119560,2022-02-10,Region 42,387,Books,Novel,3,31.85,95.55,SMB,Wholesale,1.0
ORD-00701334,2022-02-11,Region 12,594,Sports,Yoga Mat,16,99.58,1593.28,Wholesale,Wholesale,1.0
ORD-00334865,2022-02-11,Region 20,530,Beauty,Shampoo,11,47.09,517.99,Enterprise,Wholesale,1.0
ORD-00817692,2022-02-11,Region 41,409,Sports,Yoga Mat,13,107.59,1398.67,Enterprise,Retail,1.0
ORD-00628517,2022-02-11,Region 45,483,Electronics,Smartphone,10,516.51,5165.1,Retail,Wholesale,1.0
ORD-00405956,2022-02-12,Region 20,84,Apparel,Jeans,16,63.73,1019.68,SMB,Wholesale,1.0
ORD-00679691,2022-02-12,Region 05,367,Books,Journal,14,21.05,294.7,Enterprise,Retail,1.0
ORD-00256729,2022-02-12,Region 42,92,Toys,Building Blocks,16,55.23,883.68,SMB,Retail,1.0
ORD-00308291,2022-02-13,Region 55,551,Apparel,Jeans,19,59.32,1127.08,SMB,Wholesale,1.0
ORD-00238857,2022-02-13,Region 52,382,Beauty,Moisturizer,8,25.89,207.12,Wholesale,Online Store,1.0
ORD-00679897,2022-02-13,Region 46,140,Home,Blender,18,153.82,2768.76,Enterprise,Online Store,1.0
ORD-00756521,2022-02-14,Region 06,26,Sports,Yoga Mat,9,98.29,884.61,SMB,Retail,1.0
ORD-00775602,2022-02-14,Region 51,132,Apparel,Sneakers,9,77.78,700.02,SMB,Wholesale,1.0
ORD-00563994,2022-02-14,Region 11,328,Grocery,Cooking Oil,18,15.06,271.08,SMB,Online Store,1.0
ORD-00624256,2022-02-14,Region 11,478,Apparel,Jacket,6,54.68,328.08,Wholesale,Online Store,1.0
ORD-00099322,2022-02-15,Region 14,482,Beauty,Shampoo,9,44.32,398.88,Enterprise,Online Store,1.0
ORD-00602368,2022-02-15,Region 40,222,Grocery,Rice,10,20.73,207.3,Retail,Online Store,1.0
ORD-00632682,2022-02-16,Region 45,215,Beauty,Moisturizer,7,41.5,290.5,Wholesale,Wholesale,1.0
ORD-00401376,2022-02-17,Region 54,255,Electronics,Laptop,1,601.38,601.38,Enterprise,Online Store,1.0
ORD-00515396,2022-02-17,Region 19,473,Sports,Water Bottle,20,80.61,1612.2,SMB,Online Store,1.0
ORD-00573357,2022-02-17,Region 51,281,Grocery,Rice,19,18.02,342.38,Wholesale,Retail,1.0
ORD-00012315,2022-02-17,Region 48,420,Books,Journal,17,28.48,484.16,SMB,Retail,1.0
ORD-00752925,2022-02-17,Region 38,292,Electronics,Smartphone,4,434.97,1739.88,Enterprise,Wholesale,1.0
ORD-00173511,2022-02-18,Region 17,326,Toys,Action Figure,4,39.92,159.68,Wholesale,Retail,1.0
ORD-00816846,2022-02-18,Region 02,77,Books,Novel,6,22.58,135.48,SMB,Retail,1.0
ORD-00835631,2022-02-18,Region 50,34,Toys,Puzzle,7,43.67,305.69,Wholesale,Online Store,1.0
ORD-00957892,2022-02-18,Region 46,58,Beauty,Serum,18,42.24,760.32,Wholesale,Online Store,1.0
ORD-00901398,2022-02-19,Region 24,194,Beauty,Shampoo,1,26.58,26.58,Enterprise,Retail,1.0
ORD-00958880,2022-02-19,Region 42,291,Toys,Puzzle,9,42.3,380.7,Retail,Online Store,1.0
ORD-00819383,2022-02-19,Region 04,424,Beauty,Serum,12,33.37,400.44,SMB,Wholesale,1.0
ORD-00107113,2022-02-20,Region 29,351,Grocery,Cooking Oil,18,27.1,487.8,Retail,Retail,1.0
ORD-00924112,2022-02-20,Region 21,223,Home,Lamp,11,193.17,2124.87,Retail,Retail,1.0
ORD-00521264,2022-02-20,Region 22,15,Books,Cookbook,8,23.47,187.76,Enterprise,Retail,1.0
ORD-00168208,2022-02-20,Region 04,67,Home,Lamp,12,148.16,1777.92,Retail,Wholesale,1.0
ORD-00600969,2022-02-20,Region 23,29,Beauty,Moisturizer,4,34.26,137.04,Enterprise,Retail,1.0
ORD-00616821,2022-02-20,Region 52,305,Beauty,Serum,17,45.83,779.11,Retail,Online Store,1.0
ORD-00138666,2022-02-21,Region 51,163,Books,Journal,7,18.28,127.96,Wholesale,Retail,1.0
ORD-00350454,2022-02-21,Region 18,457,Apparel,Sneakers,19,49.75,945.25,Enterprise,Retail,1.0
ORD-00353443,2022-02-21,Region 44,383,Electronics,Laptop,10,364.47,3644.7,SMB,Retail,1.0
ORD-00828852,2022-02-21,Region 03,578,Electronics,Headphones,19,564.14,10718.66,SMB,Wholesale,1.0
ORD-00409042,2022-02-21,Region 15,280,Grocery,Cooking Oil,17,23.96,407.32,Wholesale,Wholesale,1.0
ORD-00474533,2022-02-21,Region 15,368,Grocery,Rice,12,15.77,189.24,Wholesale,Retail,1.0
ORD-00889145,2022-02-22,Region 37,470,Beauty,Serum,20,31.35,627.0,Retail,Wholesale,1.0
ORD-00594065,2022-02-22,Region 26,537,Toys,Action Figure,15,52.58,788.7,SMB,Online Store,1.0
ORD-00245250,2022-02-23,Region 21,355,Books,Textbook,7,21.22,148.54,SMB,Wholesale,1.0
ORD-00702500,2022-02-23,Region 29,87,Home,Sofa,2,176.36,352.72,Wholesale,Retail,1.0
ORD-00243209,2022-02-23,Region 30,440,Sports,Yoga Mat,19,91.99,1747.81,Wholesale,Online Store,1.0
ORD-00150875,2022-02-24,Region 04,401,Beauty,Shampoo,8,41.85,334.8,Retail,Wholesale,1.0
ORD-00133616,2022-02-24,Region 06,460,Electronics,Laptop,6,354.45,2126.7,Enterprise,Online Store,1.0
ORD-00199856,2022-02-24,Region 09,311,Apparel,Sneakers,15,51.04,765.6,SMB,Online Store,1.0
ORD-00454939,2022-02-24,Region 30,511,Grocery,Cooking Oil,7,17.21,120.47,Enterprise,Retail,1.0
ORD-00995506,2022-02-25,Region 47,280,Apparel,Jacket,3,44.56,133.68,Wholesale,Wholesale,1.0
ORD-00105415,2022-02-25,Region 13,192,Beauty,Moisturizer,12,44.7,536.4,Retail,Online Store,1.0
ORD-00781123,2022-02-25,Region 31,182,Toys,Building Blocks,4,39.47,157.88,Retail,Retail,1.0
ORD-00612789,2022-02-25,Region 02,324,Electronics,Laptop,1,512.49,512.49,Wholesale,Wholesale,1.0
ORD-00516606,2022-02-26,Region 02,301,Beauty,Moisturizer,15,27.58,413.7,Wholesale,Wholesale,1.0
ORD-00687420,2022-02-27,Region 40,594,Beauty,Shampoo,18,32.38,582.84,Retail,Online Store,1.0
ORD-00894338,2022-02-27,Region 14,330,Apparel,T-Shirt,18,62.99,1133.82,Retail,Online Store,1.0
ORD-00207390,2022-02-28,Region 41,427,Apparel,Sneakers,15,64.55,968.25,Wholesale,Retail,1.0
ORD-00197108,2022-02-28,Region 05,9,Toys,Action Figure,4,33.7,134.8,SMB,Retail,1.0
ORD-00618812,2022-02-28,Region 13,70,Books,Textbook,3,32.15,96.45,SMB,Retail,1.0
ORD-00386368,2022-02-28,Region 10,198,Beauty,Serum,15,29.99,449.85,Wholesale,Wholesale,1.0
ORD-00887064,2022-02-28,Region 21,266,Electronics,Laptop,20,544.91,10898.2,SMB,Online Store,1.0
ORD-00337454,2022-03-01,Region 38,268,Home,Curtains,17,106.14,1804.38,Enterprise,Retail,1.0
ORD-00012902,2022-03-01,Region 24,289,Electronics,Smartphone,19,534.34,10152.46,SMB,Retail,1.0
ORD-00272355,2022-03-01,Region 30,93,Toys,Board Game,20,28.99,579.8,SMB,Wholesale,1.0
ORD-00518361,2022-03-01,Region 35,326,Books,Textbook,8,24.22,193.76,Wholesale,Wholesale,1.0
ORD-00391133,2022-03-01,Region 54,316,Sports,Water Bottle,13,78.94,1026.22,Enterprise,Wholesale,1.0
ORD-00796943,2022-03-01,Region 17,600,Apparel,Sneakers,4,69.66,278.64,Wholesale,Wholesale,1.0
ORD-00700350,2022-03-02,Region 42,535,Home,Curtains,20,179.87,3597.4,SMB,Online Store,1.0
ORD-00063224,2022-03-02,Region 17,347,Apparel,Sneakers,7,77.83,544.81,Wholesale,Online Store,1.0
ORD-00260208,2022-03-02,Region 07,69,Home,Blender,2,110.03,220.06,SMB,Retail,1.0
ORD-00816466,2022-03-02,Region 31,128,Apparel,Jacket,5,66.24,331.2,Retail,Wholesale,1.0
ORD-00209808,2022-03-02,Region 03,496,Apparel,Jacket,14,45.44,636.16,Enterprise,Wholesale,1.0
ORD-00174578,2022-03-02,Region 39,466,Beauty,Lipstick,10,32.57,325.7,Enterprise,Online Store,1.0
ORD-00148031,2022-03-03,Region 33,314,Sports,Yoga Mat,1,68.49,68.49,Enterprise,Wholesale,1.0
ORD-00516201,2022-03-03,Region 41,238,Electronics,Smartphone,11,550.37,6054.07,Wholesale,Retail,1.0
ORD-00767860,2022-03-03,Region 26,363,Toys,Board Game,11,31.36,344.96,Wholesale,Wholesale,1.0
ORD-00212220,2022-03-03,Region 37,290,Electronics,Tablet,4,581.78,2327.12,Wholesale,Wholesale,1.0
ORD-00678239,2022-03-03,Region 04,57,Toys,Building Blocks,15,46.92,703.8,Wholesale,Online Store,1.0
ORD-00047160,2022-03-03,Region 54,468,Beauty,Lipstick,5,27.1,135.5,Enterprise,Wholesale,1.0
